ExampleID	Coder	Journal	Vol	No	Year	Pages	ExPg	ExNo	Example Sentence	Language	Argument	Predicate	GramFunction	ThetaRole	Gender	Number	Name?	Pronoun?	Content	Comments	ExType	Filename																																																																																																																																																																																																																																									
NLLT_00001	RD	NLLT	19	NA	2001	pp933–940	p936	2b	ex:Zhangsani shuo Lisi piping-le ziji)i.|Zhangsan said Lisi criticize-Perf self|‘Zhangsan said that Lisi criticized Zhangsan.’	O	Zhangsan	say	S	A	U	S	Y	N			Constructed	file:2001_Article_InstructionsForAuthors.html																																																																																																																																																																																																																																									
NLLT_00001	RD	NLLT	19	NA	2001	pp933–940	p936	2b	ex:Zhangsani shuo Lisi piping-le ziji)i.|Zhangsan said Lisi criticize-Perf self|‘Zhangsan said that Lisi criticized Zhangsan.’	O	Lisi	criticize	S	A	U	S	Y	N	E		Constructed	file:2001_Article_InstructionsForAuthors.html																																																																																																																																																																																																																																									
NLLT_00001	RD	NLLT	19	NA	2001	pp933–940	p936	2b	ex:Zhangsani shuo Lisi piping-le ziji)i.|Zhangsan said Lisi criticize-Perf self|‘Zhangsan said that Lisi criticized Zhangsan.’	O	Zhangsan	criticize	O	P	U	S	Y	N	E		Constructed	file:2001_Article_InstructionsForAuthors.html																																																																																																																																																																																																																																									
NLLT_00002	RD	NLLT	20	NA	2002	pp905–912	p908	2b	ex:Zhangsani shuo Lisi piping-le ziji)i.|Zhangsan said Lisi criticize-Perf self|‘Zhangsan said that Lisi criticized Zhangsan.’	O	Zhangsan	say	S	A	U	S	Y	N			Constructed	file:2002_Article_InstructionsOfrAuthors.html																																																																																																																																																																																																																																									
NLLT_00002	RD	NLLT	20	NA	2002	pp905–912	p908	2b	ex:Zhangsani shuo Lisi piping-le ziji)i.|Zhangsan said Lisi criticize-Perf self|‘Zhangsan said that Lisi criticized Zhangsan.’	O	Lisi	criticize	S	A	U	S	Y	N	E		Constructed	file:2002_Article_InstructionsOfrAuthors.html																																																																																																																																																																																																																																									
NLLT_00002	RD	NLLT	20	NA	2002	pp905–912	p908	2b	ex:Zhangsani shuo Lisi piping-le ziji)i.|Zhangsan said Lisi criticize-Perf self|‘Zhangsan said that Lisi criticized Zhangsan.’	O	Zhangsan	criticize	O	P	U	S	Y	N	E		Constructed	file:2002_Article_InstructionsOfrAuthors.html																																																																																																																																																																																																																																									
NLLT_00003	RD	NLLT	21	NA	2003	pp899–905	p902	2b	ex:Zhangsani shuo Lisi piping-le ziji)i.|Zhangsan said Lisi criticize-Perf self|‘Zhangsan said that Lisi criticized Zhangsan.’	O	Zhangsan	say	S	A	U	S	Y	N			Constructed	file:2003_Article_InstructionsForAuthors.html																																																																																																																																																																																																																																									
NLLT_00003	RD	NLLT	21	NA	2003	pp899–905	p902	2b	ex:Zhangsani shuo Lisi piping-le ziji)i.|Zhangsan said Lisi criticize-Perf self|‘Zhangsan said that Lisi criticized Zhangsan.’	O	Lisi	criticize	S	A	U	S	Y	N	E		Constructed	file:2003_Article_InstructionsForAuthors.html																																																																																																																																																																																																																																									
NLLT_00003	RD	NLLT	21	NA	2003	pp899–905	p902	2b	ex:Zhangsani shuo Lisi piping-le ziji)i.|Zhangsan said Lisi criticize-Perf self|‘Zhangsan said that Lisi criticized Zhangsan.’	O	Zhangsan	criticize	O	P	U	S	Y	N	E		Constructed	file:2003_Article_InstructionsForAuthors.html																																																																																																																																																																																																																																									
NLLT_00004	RD	NLLT	22	NA	2004	pp891–897	p894	2b	ex:Zhangsani shuo Lisi piping-le ziji)i.|Zhangsan said Lisi criticize-Perf self|‘Zhangsan said that Lisi criticized Zhangsan.’	O	Zhangsan	say	S	A	U	S	Y	N			Constructed	file:2004_Article_InstructionsForAuthors.html																																																																																																																																																																																																																																									
NLLT_00004	RD	NLLT	22	NA	2004	pp891–897	p894	2b	ex:Zhangsani shuo Lisi piping-le ziji)i.|Zhangsan said Lisi criticize-Perf self|‘Zhangsan said that Lisi criticized Zhangsan.’	O	Lisi	criticize	S	A	U	S	Y	N	E		Constructed	file:2004_Article_InstructionsForAuthors.html																																																																																																																																																																																																																																									
NLLT_00004	RD	NLLT	22	NA	2004	pp891–897	p894	2b	ex:Zhangsani shuo Lisi piping-le ziji)i.|Zhangsan said Lisi criticize-Perf self|‘Zhangsan said that Lisi criticized Zhangsan.’	O	Zhangsan	criticize	O	P	U	S	Y	N	E		Constructed	file:2004_Article_InstructionsForAuthors.html																																																																																																																																																																																																																																									
