ExampleID	Coder	Journal	Vol	No	Year	Pages	ExPg	ExNo	Example Sentence	Language	Argument	Predicate	GramFunction	ThetaRole	Gender	Number	Name?	Pronoun?	Content	Comments	ExType	Filename	
NLLT_00151		NLLT	19	NA	2001	pp455–502	p456	XXb	ex:a|n n ya-q´ /n n yax + q´ a/|‘I say’ 1sg + SAY + PRES.SING	O											Constructed	file:Alderete2001_Article_Root-ControlledAccentInCupe?o.html	
NLLT_00155		NLLT	19	NA	2001	pp455–502	p482	XXb	ex:kw a -´?-qa-t /kw a + i + q´|a+t /|‘I’m gonna eat ... ’ EAT + NOM + PRES + ABSO	O											Constructed	file:Alderete2001_Article_Root-ControlledAccentInCupe?o.html	
NLLT_00156		NLLT	19	NA	2001	pp455–502	p482	XXc	ex:max-´ ?-qa-t a+t /|/max + i + q´|‘(I’m) gonna give’ GIVE + NOM + PRES + ABSO	O											Constructed	file:Alderete2001_Article_Root-ControlledAccentInCupe?o.html	
NLLT_02168		NLLT	19	NA	2001	pp229–281	p231	4	"ex:Gestern habe sogar ICHF einen Roman gelesen.|yesterday have even I a novel read|Yesterday, even I read a novel."	O											Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
										O													
NLLT_02170		NLLT	19	NA	2001	pp229–281	p240	18a	ex:(? )Seine SCHWESTER nur überlebte den Unfall.|his sister only survived the accident|Only his sister survived the accident.	O	his			E	M	S	N	Y	"V, K"	possessor	Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
											his sister	survive	S	E	F	S	N	N	"V, K"				
										O													
NLLT_02171		NLLT	19	NA	2001	pp229–281	p240	18b	ex:(? )Für die ZUSCHAUER sogar war das Spiel unerfreulich.|for the spectators even was the game unpleasant|Even the crowd considered the game unpleasant.	O	the spectators	consider	S	A	N	P	N	N	E		Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
NLLT_02172		NLLT	19	NA	2001	pp229–281	p241	19a	"ex:[CP Auch [C war ich sehr MÜDE]]F .|also was I very tired|Also, I was very tired."	O											Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
NLLT_02173		NLLT	19	NA	2001	pp229–281	p241	19b	ex:[CP Nur [C WEISS das keiner]F ].|only knows that nobody|It’s just that nobody knows about it.	O	nobody	knows	S	A	N	U	N	Y	B		Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
NLLT_02174		NLLT	19	NA	2001	pp229–281	p242	22a	ex:... weil man den Wagen nur in die Garage FAHRENF darf.	O										no translation	Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
NLLT_02175		NLLT	19	NA	2001	pp229–281	p244	25	ex:Nur die HARTENF kommen in den Garten.|only the hard come into the garden|Only the tough ones make it into the garden.	O	the tough ones	make it	S	A	N	P	N	N			Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
NLLT_02176		NLLT	19	NA	2001	pp229–281	p246	XXb	ex:?Ich habe [DP jeden Sohn nur vom GRAFEN] bewundert.|I have every son only of-the count admired|I admired only the count’s every son.	O	the count				M	S	N	Y	E	possessor	Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
										O	son	admire	O	P	M	S	Y	N	E				
NLLT_02177		NLLT	19	NA	2001	pp229–281	p252	42	ex:(weil) ich nur GERDAF geküsst zu haben bereue|(because) I only Gerda kissed to have regret|a. I regret to have kissed nobody but Gerda.	O	I	regret	S	E	N	S	N	Y	E		Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
										O	I	kiss	S	A	N	S	N	Y	R				
										O	nobody	kiss	O	P	N	S	N	N	R				
										O	Gerda	kiss	O	P	F	S	Y	N	R				
