ExampleID	Coder	Journal	Vol	No	Year	Pages	ExPg	ExNo	Example Sentence	Language	Argument	Predicate	GramFunction	ThetaRole	Gender	Number	Name?	Pronoun?	Content	Comments	ExType	Filename
NLLT_00028		NLLT	  	NA	2003	pp681–735	p698	32a	"ex:JAN heb ik een boek gegeven, niet Piet|John have I a book given, not Pete|I have given a book to John, not to Pete."	O	John	give	Q	R	M	S	Y	N	B		Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
									"ex:JAN heb ik een boek gegeven, niet Piet|John have I a book given, not Pete|I have given a book to John, not to Pete."	O	Pete	(not) give	Q	R	M	S	Y	N	B	not given 		
NLLT_00029		NLLT	21	NA	2003	pp681–735	p699	33a	ex:daxal-at n-nisaa -u makaatib-a-hunna|entered-FEM the-women-NOM ofﬁce-PLR-ACC-their-FEM|The women entered their ofﬁces.	O	women	enter	S	A	F	P	N	N	O		Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
NLLT_00030		NLLT	21	NA	2003	pp681–735	p701	37a	ex:a zayd-an ra ay-ta|Q Zayd-ACC saw-you|Is it Zayd that you saw?	O	Zayd	see	O	P	M	S	Y	N		"assuming ""see"" is an experience, where subject is E and object is P"	Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
NLLT_00031		NLLT	21	NA	2003	pp681–735	p701	39	ex:a zayd-un qaal-a haadaa|Q Zayd-NOM said-3SG.MASC this|Is it Zaid that said this?	O	Zayd	say	S	A	M	S	Y	N			Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
NLLT_00032		NLLT	21	NA	2003	pp681–735	p705	46a	"ex:Nu moete-ne onse vrouwe bewaren|now must-him our lady save|Now, our lady must have him."	O	lady	have	S	A	F	S	N	N			Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
									"ex:Nu moete-ne onse vrouwe bewaren|now must-him our lady save|Now, our lady must have him."	O	him	have	O	P	M	S	N	Y				
NLLT_00033		NLLT	21	NA	2003	pp681–735	p705	46b	"ex:Soe troest-se de hope vander goetheit Gods|Thus consoles-her the hope of-the goodness god-GEN|Thus, the hope of the goodness of God consoles her."	O	God	console					  				Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
									"ex:Soe troest-se de hope vander goetheit Gods|Thus consoles-her the hope of-the goodness god-GEN|Thus, the hope of the goodness of God consoles her."	O	her	console	O	P	F	S	N	Y	E			
NLLT_00034		NLLT	21	NA	2003	pp681–735	p705	46c	ex:datt-en God niet en spaert|that-him God not NEG saves|that God does not save him.	O	God	save	S	A	N	S	Y	N			Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
