ExampleID	Coder	Journal	Vol	No	Year	Pages	ExPg	ExNo	Example Sentence	Language	Argument	Predicate	GramFunction	ThetaRole	Gender	Number	Name?	Pronoun?	Content	Comments	ExType	Filename																																																																																																																																																																																																																																									
NLLT_02112		NLLT	29	NA	2011	pp973–997	p977	XXe	ex:Scenario 5: There is only one NP in the domain of the probe and it matches|the probe. No conditions on MA are violated: The outcome is simple agree-|ment with the sole NP1.												Constructed	file:B?jar2011_Article_RemarksOnOmnivoryAndComplement.html																																																																																																																																																																																																																																									
NLLT_02113		NLLT	29	NA	2011	pp973–997	p978	4	"ex:g- xedav- t Georgian (Vogt 1971; Carmack 1997; Nevins 2011)|2obj.- saw- Pl|‘I saw y’all.’, ‘We saw y’all.’, ‘We saw you.’"	O											Constructed	file:B?jar2011_Article_RemarksOnOmnivoryAndComplement.html																																																																																																																																																																																																																																									
NLLT_02114		NLLT	29	NA	2011	pp973–997	p978	5	ex:gv-xedav-t Georgian (Vogt 1971; Carmack 1997)|1.pl-see-pl|‘Y’all saw us.’	O											Constructed	file:B?jar2011_Article_RemarksOnOmnivoryAndComplement.html																																																																																																																																																																																																																																									
NLLT_02115		NLLT	29	NA	2011	pp973–997	p980	2	ex:b . Scenario 2: The probe could span both arguments but the MV Condition|would be violated so it spans only the ?rst NP: The outcome is simple|agreement with NP1.												Constructed	file:B?jar2011_Article_RemarksOnOmnivoryAndComplement.html																																																																																																																																																																																																																																									
NLLT_02116		NLLT	29	NA	2011	pp973–997	p985	11a	ex:Der Mörder bist du|the murderer are[2Sg] you[NOM]|‘The murderer is you.’	O	murderer	be	S	A	U	S	N	N	V		Constructed	file:B?jar2011_Article_RemarksOnOmnivoryAndComplement.html																																																																																																																																																																																																																																									
NLLT_02117		NLLT	29	NA	2011	pp973–997	p985	11b	ex:Du bist der Mörder|you[NOM] are[2Sg] the murderer|‘You are the murderer.’	O	murderer	be	O	A	U	S	N	N	V		Constructed	file:B?jar2011_Article_RemarksOnOmnivoryAndComplement.html																																																																																																																																																																																																																																									
NLLT_02118		NLLT	29	NA	2011	pp973–997	p992	22	ex:s- g- ni -g˜ eha (Barrie 2005)|2obj 1sub dual see|‘You see us two.’	O											Constructed	file:B?jar2011_Article_RemarksOnOmnivoryAndComplement.html																																																																																																																																																																																																																																									
NLLT_02119		NLLT	29	NA	2011	pp973–997	p993	23a	"ex:g- wa- g˜ eha’ (Barrie 2005)|1:2- Pl- see|‘I see you all.’, ‘We see you.’, ‘We see you all.’"	O											Constructed	file:B?jar2011_Article_RemarksOnOmnivoryAndComplement.html																																																																																																																																																																																																																																									
NLLT_02120		NLLT	29	NA	2011	pp973–997	p993	23b	"ex:s- g- wa- g˜eha’|2- 1- Pl- see|‘You see us all.’, ‘You all see me.’, ‘You all see us all.’"	O											Constructed	file:B?jar2011_Article_RemarksOnOmnivoryAndComplement.html																																																																																																																																																																																																																																									
NLLT_00902		NLLT	29	NA	2011	pp875–915	p876	2	ex:(Nosotras) somos gord-as/*gord-amos. Spanish|we.F.PL are.1pS fat-F.PL/fat-1p|‘We are fat.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00903		NLLT	29	NA	2011	pp875–915	p878	4a	ex:Min [bügün ehigi kyaj-yax-xyt/*tara dien] erem-mit-im.|I today you.NOM win-FUT-2pS/3pS that hope-PAST-1sS|‘I hoped that you would win today.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00904		NLLT	29	NA	2011	pp875–915	p878	4b	ex:Min [ehigi-ni [bügün kyaj-yax-tara] dien] erem-mit-im.|I you-ACC today win-FUT-3pS that hope-PAST-1sS|‘I hoped (of you) that you would win today.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00905		NLLT	29	NA	2011	pp875–915	p878	5a	ex:Ma t? am k?alaN wel-s -l-am.|I this reindeer kill-PAST-pO-1sS|‘I killed these reindeer.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00906		NLLT	29	NA	2011	pp875–915	p879	6a	ex:Est-as mujer-es son gord-as. Spanish|these-F.PL women(F)-PL are.3pS fat-F.PL|‘These women are fat.’	O	women	be	S	E	F	P	N	N	A		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00907		NLLT	29	NA	2011	pp875–915	p879	6b	ex:El hombre es gord-o.|the.M.SG man(M.SG) is.3sS fat-M.SG|‘The man is fat.’	O	man	be	S	E	M	S	N	N	A		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00908		NLLT	29	NA	2011	pp875–915	p879	6c	ex:(Nosotras) somos gord-as/*gord-amos.|we.F.PL are.1pS fat-F.PL/ fat-1p|‘We (a group of females) are fat.’	O										"Not 3rd person argument, but pronun is genders"	Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00909		NLLT	29	NA	2011	pp875–915	p879	7a	ex:Ni m-refu. (cf. Hamisi yu m-refu) (Ashton 1949)|1sS.be CL1-tall Hamisi CL1.be CL1-tall|‘I am tall.’ ‘Hamisi is tall.’	O	Hamisi	be	S	E	U	S	Y	N	A		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00910		NLLT	29	NA	2011	pp875–915	p880	7b	ex:Tu wa-refu.|1pS.be CL2-tall|‘We are tall.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00911		NLLT	29	NA	2011	pp875–915	p880	7c	ex:Mi-zigo hii mi-zito.|CL4(PL)-loads these CL4(PL)-heavy|‘These loads are heavy.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00912		NLLT	29	NA	2011	pp875–915	p881	10	ex:Ehigi bytaa - yt. Bihigi bytaam-myt. Min bytaam-myn.|you.NOM slow-2pS we.NOM slow-1pS I.NOM slow-1sS|‘You (pl) are slow.’ ‘We are slow.’ ‘I am slow.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00913		NLLT	29	NA	2011	pp875–915	p882	12a	ex:bytaan-(*nar) balyksyt-tar (Vinokurova 2005: 205)|slow-(3PL) ?sherman-PL|‘slow ?shermen’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00914		NLLT	29	NA	2011	pp875–915	p882	12b	ex:Bu miigin djolloox-(*pun) o or-but-a.|this me.ACC happy-(1sS) make-PAST-3sS|‘This made me happy.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00915		NLLT	29	NA	2011	pp875–915	p882	12c	ex:Bihigi bytaan-(*myt) buol-a-byt.|we.NOM slow-(1pS) be-AOR-1pS|‘We are slow.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00916		NLLT	29	NA	2011	pp875–915	p883	XXc	ex:Ni-qu-im-maca hu¯ ehuèx¯ olô in n-ocn¯ ?-uh.6 (Launey 1981: 174)|1sS-3O-PL-give turkeys PRT 1sP-friend-POSS|‘I give some turkeys to my friend.’	O	friend	give	Q	R	N	S	N	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00917		NLLT	29	NA	2011	pp875–915	p883	14a	ex:Ka-’u’u-wia-ban. Southern Tiwa (Allen et al. 1990)|1sS/2sO/AO-baby-give-PAST|‘I gave you the baby.’	O	baby	give	O	P	N	S	N	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00918		NLLT	29	NA	2011	pp875–915	p884	14b	ex:Kam-’u’u-wia-ban.|1sS/2sO/BO-baby-give-PAST|‘I gave you the babies.’	O	babies	give	O	P	N	P	N	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00919		NLLT	29	NA	2011	pp875–915	p884	14c	ex:Kow-keuap-wia-ban.|1sS/2sO/CO-shoe-give-PAST|‘I gave you (the) shoes.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00920		NLLT	29	NA	2011	pp875–915	p884	15	"ex:Context: Ditransitives with phonologically weak direct and indirect objects.|Observation: If a direct and an indirect object co-occur, the direct object has to|be 3rd person (i.e., cannot be 1st or 2nd person)."												Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00921		NLLT	29	NA	2011	pp875–915	p889	19a	ex:Henni leiddust þeir. (Taraldsen 1995: 307)|her.DAT was.bored.by.3pS they.NOM|‘She was bored with them.’	O	she	bored	S	E	F	S	N	Y	E		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00922		NLLT	29	NA	2011	pp875–915	p889	19b	ex:Henni leiðist bókin sín. (Boeckx 2000: 356)|her.DAT was.bored.by.3sS book self’s|‘She was bored with her own book.’	O	she	bored	S	E	F	S	N	Y	B		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00923		NLLT	29	NA	2011	pp875–915	p889	19c	ex:*Henni leiddumst við. (Taraldsen 1995: 309)|her.DAT was.bored.by.1pS we.NOM|‘She was bored with us.’	O	she	bored	S	E	F	S	N	Y	E		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00924		NLLT	29	NA	2011	pp875–915	p891	24	ex:* [ Min ke-funna] n-tum n-tawa.|me 5-surprise 1sS-be.very 1sS-be.dif?cult|‘Surprising me is very dif?cult.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00925		NLLT	29	NA	2011	pp875–915	p893	25a	ex:Min ehigi bügün kyaj-yax-xyt dien erem-mit-im. (NV: 361)|I you.NOM today win-FUT-2pS that hope-PAST-1sS|‘I hoped that you (plural) would win today.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00926		NLLT	29	NA	2011	pp875–915	p893	25b	ex:Masha en yaldj-ya- dien tönün-ne. (NV: 368)|Masha you.NOM fall.sick-FUT-2sS that return-PAST.3sS|‘Masha returned for fear that you (singular) would fall sick.’	O	Masha	return	S	A	U	S	Y	N	E		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00927		NLLT	29	NA	2011	pp875–915	p893	25c	ex:En dössö daqany beje- kyaj-dy- dien san-yy-gyn.|you still PRT self-2sS win-PAST-2sS that think-AOR-2sS|‘You (singular) still think that you won.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00928		NLLT	29	NA	2011	pp875–915	p893	26	ex:* Min ehigi bügün kyaj-yax-tara dien erem-mit-im. (NV: 361)|I you.NOM today win-FUT-(3)pS that hope-PAST-1sS|‘I hoped that you (plural) would win today.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00929		NLLT	29	NA	2011	pp875–915	p893	27	ex:Ehigi bügün kyaj-yax-xyt/*kyaj-yax-tara.|you.NOM today win-FUT-2pS/ win-FUT-(3)pS|‘You (plural) will win today.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00930		NLLT	29	NA	2011	pp875–915	p893	28a	ex:Min ehigi-ni bügün kyaj-yax-xyt dien erem-mit-im. (NV: 361)|I you-ACC today win-FUT-2pS that hope-PAST-1sS|‘I hoped that you (plural) would win today.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
