"","ID","Item","Answer","NotAns","Cat","Col","NonNative","ForeignLang","Most","Number","Yes","Acc.Fil","Acc.Mtn","NotAll","LowAcc","LowMtn","C2.Weber","C3.Weber","Blue","Non.Blue","Yellow"
"73","A164RBTU9AO3G7","Answer.2C.1",FALSE,0,"2C","2",0,0,1,1,0,93.1,100,0,0,0,0.67,0.67,8,12,12
"74","A164RBTU9AO3G7","Answer.2C.2",FALSE,0,"2C","2",0,0,1,2,0,93.1,100,0,0,0,0.75,0.75,9,12,12
"75","A164RBTU9AO3G7","Answer.2C.3",FALSE,0,"2C","2",0,0,1,3,0,93.1,100,0,0,0,0.82,0.82,9,11,11
"76","A164RBTU9AO3G7","Answer.2C.4",FALSE,0,"2C","2",0,0,1,4,0,93.1,100,0,0,0,0.91,0.91,10,11,11
"77","A164RBTU9AO3G7","Answer.2C.5",FALSE,0,"2C","2",0,0,1,5,0,93.1,100,0,0,0,1,1,10,10,10
"78","A164RBTU9AO3G7","Answer.2C.6",FALSE,0,"2C","2",0,0,1,6,0,93.1,100,0,0,0,1.1,1.1,11,10,10
"79","A164RBTU9AO3G7","Answer.2C.7",FALSE,0,"2C","2",0,0,1,7,0,93.1,100,0,0,0,1.22,1.22,11,9,9
"80","A164RBTU9AO3G7","Answer.2C.8",FALSE,0,"2C","2",0,0,1,8,0,93.1,100,0,0,0,1.33,1.33,12,9,9
"81","A164RBTU9AO3G7","Answer.2C.9",FALSE,0,"2C","2",0,0,1,9,0,93.1,100,0,0,0,1.5,1.5,12,8,8
"82","A164RBTU9AO3G7","Answer.3C_Bal.1",FALSE,0,"3C_Bal","3",0,0,1,1,0,93.1,100,0,0,0,0.67,1.33,8,12,6
"83","A164RBTU9AO3G7","Answer.3C_Bal.2",FALSE,0,"3C_Bal","3",0,0,1,2,0,93.1,100,0,0,0,0.75,1.5,9,12,6
"84","A164RBTU9AO3G7","Answer.3C_Bal.3",FALSE,0,"3C_Bal","3",0,0,1,3,0,93.1,100,0,0,0,0.82,1.5,9,11,6
"85","A164RBTU9AO3G7","Answer.3C_Bal.4",FALSE,0,"3C_Bal","3",0,0,1,4,0,93.1,100,0,0,0,0.91,1.67,10,11,6
"86","A164RBTU9AO3G7","Answer.3C_Bal.5",FALSE,0,"3C_Bal","3",0,0,1,5,0,93.1,100,0,0,0,1,1.67,10,10,6
"87","A164RBTU9AO3G7","Answer.3C_Bal.6",FALSE,0,"3C_Bal","3",0,0,1,6,0,93.1,100,0,0,0,1.1,2.2,11,10,5
"88","A164RBTU9AO3G7","Answer.3C_Bal.7",FALSE,0,"3C_Bal","3",0,0,1,7,0,93.1,100,0,0,0,1.22,2.2,11,9,5
"89","A164RBTU9AO3G7","Answer.3C_Bal.8",TRUE,0,"3C_Bal","3",0,0,1,8,1,93.1,100,0,0,0,1.33,2.4,12,9,5
"90","A164RBTU9AO3G7","Answer.3C_Bal.9",TRUE,0,"3C_Bal","3",0,0,1,9,1,93.1,100,0,0,0,1.5,3,12,8,4
"91","A164RBTU9AO3G7","Answer.3C_Mild.1",FALSE,0,"3C_Mild","3",0,0,1,1,0,93.1,100,0,0,0,0.67,0.89,8,12,9
"92","A164RBTU9AO3G7","Answer.3C_Mild.2",FALSE,0,"3C_Mild","3",0,0,1,2,0,93.1,100,0,0,0,0.75,1,9,12,9
"93","A164RBTU9AO3G7","Answer.3C_Mild.3",FALSE,0,"3C_Mild","3",0,0,1,3,0,93.1,100,0,0,0,0.82,1.13,9,11,8
"94","A164RBTU9AO3G7","Answer.3C_Mild.4",FALSE,0,"3C_Mild","3",0,0,1,4,0,93.1,100,0,0,0,0.91,1.25,10,11,8
"95","A164RBTU9AO3G7","Answer.3C_Mild.5",FALSE,0,"3C_Mild","3",0,0,1,5,0,93.1,100,0,0,0,1,1.42,10,10,7
"96","A164RBTU9AO3G7","Answer.3C_Mild.6",FALSE,0,"3C_Mild","3",0,0,1,6,0,93.1,100,0,0,0,1.1,1.57,11,10,7
"97","A164RBTU9AO3G7","Answer.3C_Mild.7",FALSE,0,"3C_Mild","3",0,0,1,7,0,93.1,100,0,0,0,1.22,1.83,11,9,6
"98","A164RBTU9AO3G7","Answer.3C_Mild.8",TRUE,0,"3C_Mild","3",0,0,1,8,1,93.1,100,0,0,0,1.33,1.71,12,9,7
"99","A164RBTU9AO3G7","Answer.3C_Mild.9",TRUE,0,"3C_Mild","3",0,0,1,9,1,93.1,100,0,0,0,1.5,2,12,8,6
"100","A164RBTU9AO3G7","Answer.3C_Unbal.1",FALSE,0,"3C_Unbal","3",0,0,1,1,0,93.1,100,0,0,0,0.67,0.73,8,12,11
"101","A164RBTU9AO3G7","Answer.3C_Unbal.2",FALSE,0,"3C_Unbal","3",0,0,1,2,0,93.1,100,0,0,0,0.75,0.86,9,12,11
"102","A164RBTU9AO3G7","Answer.3C_Unbal.3",FALSE,0,"3C_Unbal","3",0,0,1,3,0,93.1,100,0,0,0,0.82,0.9,9,11,10
"103","A164RBTU9AO3G7","Answer.3C_Unbal.4",FALSE,0,"3C_Unbal","3",0,0,1,4,0,93.1,100,0,0,0,0.91,1,10,11,10
"104","A164RBTU9AO3G7","Answer.3C_Unbal.5",FALSE,0,"3C_Unbal","3",0,0,1,5,0,93.1,100,0,0,0,1,1.11,10,10,9
"105","A164RBTU9AO3G7","Answer.3C_Unbal.6",FALSE,0,"3C_Unbal","3",0,0,1,6,0,93.1,100,0,0,0,1.1,1.22,11,10,9
"106","A164RBTU9AO3G7","Answer.3C_Unbal.7",FALSE,0,"3C_Unbal","3",0,0,1,7,0,93.1,100,0,0,0,1.22,1.38,11,9,8
"107","A164RBTU9AO3G7","Answer.3C_Unbal.8",FALSE,0,"3C_Unbal","3",0,0,1,8,0,93.1,100,0,0,0,1.33,1.5,12,9,8
"108","A164RBTU9AO3G7","Answer.3C_Unbal.9",FALSE,0,"3C_Unbal","3",0,0,1,9,0,93.1,100,0,0,0,1.5,1.71,12,8,7
"109","A4VFHWCOAWGVD","Answer.2C.1",FALSE,0,"2C","2",0,0,1,1,0,66.7,75,0,1,0,0.67,0.67,8,12,12
"110","A4VFHWCOAWGVD","Answer.2C.2",FALSE,0,"2C","2",0,0,1,2,0,66.7,75,0,1,0,0.75,0.75,9,12,12
"111","A4VFHWCOAWGVD","Answer.2C.3",FALSE,0,"2C","2",0,0,1,3,0,66.7,75,0,1,0,0.82,0.82,9,11,11
"112","A4VFHWCOAWGVD","Answer.2C.4",TRUE,0,"2C","2",0,0,1,4,1,66.7,75,0,1,0,0.91,0.91,10,11,11
"113","A4VFHWCOAWGVD","Answer.2C.5",TRUE,0,"2C","2",0,0,1,5,1,66.7,75,0,1,0,1,1,10,10,10
"114","A4VFHWCOAWGVD","Answer.2C.6",TRUE,0,"2C","2",0,0,1,6,1,66.7,75,0,1,0,1.1,1.1,11,10,10
"115","A4VFHWCOAWGVD","Answer.2C.7",TRUE,0,"2C","2",0,0,1,7,1,66.7,75,0,1,0,1.22,1.22,11,9,9
"116","A4VFHWCOAWGVD","Answer.2C.8",FALSE,0,"2C","2",0,0,1,8,0,66.7,75,0,1,0,1.33,1.33,12,9,9
"117","A4VFHWCOAWGVD","Answer.2C.9",TRUE,0,"2C","2",0,0,1,9,1,66.7,75,0,1,0,1.5,1.5,12,8,8
"118","A4VFHWCOAWGVD","Answer.3C_Bal.1",FALSE,0,"3C_Bal","3",0,0,1,1,0,66.7,75,0,1,0,0.67,1.33,8,12,6
"119","A4VFHWCOAWGVD","Answer.3C_Bal.2",TRUE,0,"3C_Bal","3",0,0,1,2,1,66.7,75,0,1,0,0.75,1.5,9,12,6
"120","A4VFHWCOAWGVD","Answer.3C_Bal.3",FALSE,0,"3C_Bal","3",0,0,1,3,0,66.7,75,0,1,0,0.82,1.5,9,11,6
