"","X","ID","Item","Answer","NotAns","Cat","Col","NonNative","ForeignLang","Most","Number","Yes","Acc.Fil","Acc.Mtn","NotAll","LowAcc","LowMtn","C2.Weber","C3.Weber","Blue","Non.Blue","Yellow","PropTC","SupTC"
"1",37,"A1W8NQVJB92ZSO","Answer.2C.1",FALSE,0,"2C",2,0,1,1,1,0,91.7,100,0,0,0,0.67,0.67,8,12,12,0,0
"2",38,"A1W8NQVJB92ZSO","Answer.2C.2",FALSE,0,"2C",2,0,1,1,2,0,91.7,100,0,0,0,0.75,0.75,9,12,12,0,0
"3",39,"A1W8NQVJB92ZSO","Answer.2C.3",FALSE,0,"2C",2,0,1,1,3,0,91.7,100,0,0,0,0.82,0.82,9,11,11,0,0
"4",40,"A1W8NQVJB92ZSO","Answer.2C.4",FALSE,0,"2C",2,0,1,1,4,0,91.7,100,0,0,0,0.91,0.91,10,11,11,0,0
"5",41,"A1W8NQVJB92ZSO","Answer.2C.5",FALSE,0,"2C",2,0,1,1,5,0,91.7,100,0,0,0,1,1,10,10,10,0,0
"6",42,"A1W8NQVJB92ZSO","Answer.2C.6",TRUE,0,"2C",2,0,1,1,6,1,91.7,100,0,0,0,1.1,1.1,11,10,10,1,1
"7",43,"A1W8NQVJB92ZSO","Answer.2C.7",TRUE,0,"2C",2,0,1,1,7,1,91.7,100,0,0,0,1.22,1.22,11,9,9,1,1
"8",44,"A1W8NQVJB92ZSO","Answer.2C.8",TRUE,0,"2C",2,0,1,1,8,1,91.7,100,0,0,0,1.33,1.33,12,9,9,1,1
"9",45,"A1W8NQVJB92ZSO","Answer.2C.9",TRUE,0,"2C",2,0,1,1,9,1,91.7,100,0,0,0,1.5,1.5,12,8,8,1,1
"10",46,"A1W8NQVJB92ZSO","Answer.3C_Bal.1",FALSE,0,"3C_Bal",3,0,1,1,1,0,91.7,100,0,0,0,0.67,1.33,8,12,6,0,1
"11",47,"A1W8NQVJB92ZSO","Answer.3C_Bal.2",FALSE,0,"3C_Bal",3,0,1,1,2,0,91.7,100,0,0,0,0.75,1.5,9,12,6,0,1
"12",48,"A1W8NQVJB92ZSO","Answer.3C_Bal.3",FALSE,0,"3C_Bal",3,0,1,1,3,0,91.7,100,0,0,0,0.82,1.5,9,11,6,0,1
"13",49,"A1W8NQVJB92ZSO","Answer.3C_Bal.4",FALSE,0,"3C_Bal",3,0,1,1,4,0,91.7,100,0,0,0,0.91,1.67,10,11,6,0,1
"14",50,"A1W8NQVJB92ZSO","Answer.3C_Bal.5",FALSE,0,"3C_Bal",3,0,1,1,5,0,91.7,100,0,0,0,1,1.67,10,10,6,0,1
"15",51,"A1W8NQVJB92ZSO","Answer.3C_Bal.6",TRUE,0,"3C_Bal",3,0,1,1,6,1,91.7,100,0,0,0,1.1,2.2,11,10,5,1,1
"16",52,"A1W8NQVJB92ZSO","Answer.3C_Bal.7",TRUE,0,"3C_Bal",3,0,1,1,7,1,91.7,100,0,0,0,1.22,2.2,11,9,5,1,1
"17",53,"A1W8NQVJB92ZSO","Answer.3C_Bal.8",TRUE,0,"3C_Bal",3,0,1,1,8,1,91.7,100,0,0,0,1.33,2.4,12,9,5,1,1
"18",54,"A1W8NQVJB92ZSO","Answer.3C_Bal.9",TRUE,0,"3C_Bal",3,0,1,1,9,1,91.7,100,0,0,0,1.5,3,12,8,4,1,1
"19",55,"A1W8NQVJB92ZSO","Answer.3C_Mild.1",FALSE,0,"3C_Mild",3,0,1,1,1,0,91.7,100,0,0,0,0.67,0.89,8,12,9,0,0
"20",56,"A1W8NQVJB92ZSO","Answer.3C_Mild.2",FALSE,0,"3C_Mild",3,0,1,1,2,0,91.7,100,0,0,0,0.75,1,9,12,9,0,0
"21",57,"A1W8NQVJB92ZSO","Answer.3C_Mild.3",FALSE,0,"3C_Mild",3,0,1,1,3,0,91.7,100,0,0,0,0.82,1.13,9,11,8,0,1
"22",58,"A1W8NQVJB92ZSO","Answer.3C_Mild.4",FALSE,0,"3C_Mild",3,0,1,1,4,0,91.7,100,0,0,0,0.91,1.25,10,11,8,0,1
"23",59,"A1W8NQVJB92ZSO","Answer.3C_Mild.5",FALSE,0,"3C_Mild",3,0,1,1,5,0,91.7,100,0,0,0,1,1.42,10,10,7,0,1
"24",60,"A1W8NQVJB92ZSO","Answer.3C_Mild.6",TRUE,0,"3C_Mild",3,0,1,1,6,1,91.7,100,0,0,0,1.1,1.57,11,10,7,1,1
"25",61,"A1W8NQVJB92ZSO","Answer.3C_Mild.7",TRUE,0,"3C_Mild",3,0,1,1,7,1,91.7,100,0,0,0,1.22,1.83,11,9,6,1,1
"26",62,"A1W8NQVJB92ZSO","Answer.3C_Mild.8",TRUE,0,"3C_Mild",3,0,1,1,8,1,91.7,100,0,0,0,1.33,1.71,12,9,7,1,1
"27",63,"A1W8NQVJB92ZSO","Answer.3C_Mild.9",TRUE,0,"3C_Mild",3,0,1,1,9,1,91.7,100,0,0,0,1.5,2,12,8,6,1,1
"28",64,"A1W8NQVJB92ZSO","Answer.3C_Unbal.1",FALSE,0,"3C_Unbal",3,0,1,1,1,0,91.7,100,0,0,0,0.67,0.73,8,12,11,0,0
"29",65,"A1W8NQVJB92ZSO","Answer.3C_Unbal.2",FALSE,0,"3C_Unbal",3,0,1,1,2,0,91.7,100,0,0,0,0.75,0.86,9,12,11,0,0
"30",66,"A1W8NQVJB92ZSO","Answer.3C_Unbal.3",FALSE,0,"3C_Unbal",3,0,1,1,3,0,91.7,100,0,0,0,0.82,0.9,9,11,10,0,0
"31",67,"A1W8NQVJB92ZSO","Answer.3C_Unbal.4",FALSE,0,"3C_Unbal",3,0,1,1,4,0,91.7,100,0,0,0,0.91,1,10,11,10,0,0
"32",68,"A1W8NQVJB92ZSO","Answer.3C_Unbal.5",FALSE,0,"3C_Unbal",3,0,1,1,5,0,91.7,100,0,0,0,1,1.11,10,10,9,0,1
