TrialName,PreempAllowed,NumRows,NumShapes,[Shape Color Radius Position],TimeSpentOnFrame,UserAnswer1,CorrectAnswer1,IsCorrect1,UserAnswer2,CorrectAnswer2,IsCorrect2,Frame,FrameAnswered,TimeToAnswer1FromBegin,TimeToStart2,TimeToFinish2
aboutn-f12,yes,3,3,[q w 0.040000 2] [q w 0.040000 3] [q b 0.040000 5] ,0.6081,yes,no,incorrect,,,,1,6,3.0862,,
aboutn-f12,yes,3,3,[q w 0.040000 1] [q w 0.040000 7] [q b 0.040000 4] ,0.4119,yes,no,incorrect,,,,2,6,3.0862,,
aboutn-f12,yes,3,3,[q w 0.040000 6] [q b 0.040000 8] [q b 0.040000 9] ,0.2572,yes,no,incorrect,,,,3,6,3.0862,,
aboutn-f12,yes,3,3,[q b 0.040000 11] [q b 0.040000 13] [q w 0.040000 10] ,0.6129,yes,no,incorrect,,,,4,6,3.0862,,
aboutn-f12,yes,3,3,[q b 0.040000 12] [q b 0.040000 15] [q w 0.040000 14] ,0.3168,yes,no,incorrect,,,,5,6,3.0862,,
aboutn-f12,yes,3,3,[q b 0.040000 17] [q w 0.040000 16] [q b 0.040000 18] ,0.7270,yes,no,incorrect,,,,6,6,3.0862,,
few-f2,yes,3,3,[s b 0.040000 2] [s b 0.040000 3] [s g 0.040000 1] ,0.1965,yes,yes,correct,,,,1,6,1.6047,,
few-f2,yes,3,3,[s b 0.040000 6] [s g 0.040000 5] [s k 0.040000 9] ,0.1459,yes,yes,correct,,,,2,6,1.6047,,
few-f2,yes,3,3,[s b 0.040000 4] [s b 0.040000 8] [s b 0.040000 7] ,0.1357,yes,yes,correct,,,,3,6,1.6047,,
few-f2,yes,3,3,[s b 0.040000 11] [s b 0.040000 10] [s g 0.040000 12] ,0.1515,yes,yes,correct,,,,4,6,1.6047,,
few-f2,yes,3,3,[s b 0.040000 14] [s b 0.040000 13] [s b 0.040000 16] ,0.1508,yes,yes,correct,,,,5,6,1.6047,,
few-f2,yes,3,3,[s g 0.040000 17] [s b 0.040000 15] [s b 0.040000 18] ,0.6742,yes,yes,correct,,,,6,6,1.6047,,
most_3C-9,yes,3,3,[c b 0.040000 2] [c b 0.040000 3] [c k 0.040000 5] ,0.3225,no,yes,incorrect,,,,1,6,3.5387,,
most_3C-9,yes,3,3,[c b 0.040000 1] [c b 0.040000 4] [c g 0.040000 7] ,0.2756,no,yes,incorrect,,,,2,6,3.5387,,
most_3C-9,yes,3,3,[c k 0.040000 6] [c b 0.040000 8] [c g 0.040000 9] ,0.2875,no,yes,incorrect,,,,3,6,3.5387,,
most_3C-9,yes,3,3,[c r 0.040000 11] [c b 0.040000 10] [c r 0.040000 13] ,1.4559,no,yes,incorrect,,,,4,6,3.5387,,
most_3C-9,yes,3,3,[c r 0.040000 12] [c b 0.040000 15] [c r 0.040000 14] ,0.2157,no,yes,incorrect,,,,5,6,3.5387,,
most_3C-9,yes,3,3,[c b 0.040000 17] [c g 0.040000 16] [c k 0.040000 18] ,0.8304,no,yes,incorrect,,,,6,6,3.5387,,
otherprop_3C-f12,yes,3,3,[c b 0.040000 1] [c r 0.040000 2] [c w 0.040000 3] ,0.1014,yes,no,incorrect,,,,1,6,1.3455,,
otherprop_3C-f12,yes,3,3,[c k 0.040000 5] [c b 0.040000 6] [c r 0.040000 9] ,0.1104,yes,no,incorrect,,,,2,6,1.3455,,
otherprop_3C-f12,yes,3,3,[c w 0.040000 4] [c b 0.040000 7] [c b 0.040000 8] ,0.0979,yes,no,incorrect,,,,3,6,1.3455,,
otherprop_3C-f12,yes,3,3,[c r 0.040000 12] [c b 0.040000 15] [c r 0.040000 11] ,0.1111,yes,no,incorrect,,,,4,6,1.3455,,
otherprop_3C-f12,yes,3,3,[c b 0.040000 10] [c w 0.040000 13] [c w 0.040000 14] ,0.1155,yes,no,incorrect,,,,5,6,1.3455,,
otherprop_3C-f12,yes,3,3,[c r 0.040000 17] [c b 0.040000 16] [c r 0.040000 18] ,0.6311,yes,no,incorrect,,,,6,6,1.3455,,
